SortOrder,LocID,Notes,ISO3_code,ISO2_code,SDMX_code,LocTypeID,LocTypeName,ParentID,Location,VarID,Variant,Time,MidPeriod,AgeGrp,PopMale,PopFemale,PopTotal
99,156,5,CHN,CN,156,4,Country/Area,906,China,2,Medium,1957,1957,45-49,14534.783,14254.037,28788.82
99,156,5,CHN,CN,156,4,Country/Area,906,China,2,Medium,1957,1957,50-54,12839.306,12999.918,25839.224
99,156,5,CHN,CN,156,4,Country/Area,906,China,2,Medium,1957,1957,55-59,10024.95,10263.705,20288.655
99,156,5,CHN,CN,156,4,Country/Area,906,China,2,Medium,1957,1957,60-64,7957.666,8647.837,16605.503
99,156,5,CHN,CN,156,4,Country/Area,906,China,2,Medium,1957,1957,65-69,5437.52,6444.498,11882.018
99,156,5,CHN,CN,156,4,Country/Area,906,China,2,Medium,1957,1957,70-74,3333.633,4490.975,7824.608
99,156,5,CHN,CN,156,4,Country/Area,906,China,2,Medium,1957,1957,75-79,1604.527,2541.137,4145.664
99,156,5,CHN,CN,156,4,Country/Area,906,China,2,Medium,1957,1957,80-84,670.37,1164.708,1835.078
99,156,5,CHN,CN,156,4,Country/Area,906,China,2,Medium,1957,1957,85-89,207.648,397.841,605.489
99,156,5,CHN,CN,156,4,Country/Area,906,China,2,Medium,1957,1957,90-94,39.577,100.034,139.611
99,156,5,CHN,CN,156,4,Country/Area,906,China,2,Medium,1957,1957,95+,3.495,13.562,17.057
99,156,5,CHN,CN,156,4,Country/Area,906,China,2,Medium,1958,1958,25-29,24546.966,22159.639,46706.605
99,156,5,CHN,CN,156,4,Country/Area,906,China,2,Medium,1958,1958,30-34,21499.683,19908.706,41408.389
99,156,5,CHN,CN,156,4,Country/Area,906,China,2,Medium,1958,1958,35-39,18704.424,17735.389,36439.813
99,156,5,CHN,CN,156,4,Country/Area,906,China,2,Medium,1958,1958,40-44,17194.108,16435.136,33629.244
99,156,5,CHN,CN,156,4,Country/Area,906,China,2,Medium,1958,1958,45-49,14679.244,14315.231,28994.475
99,156,5,CHN,CN,156,4,Country/Area,906,China,2,Medium,1958,1958,50-54,12875.561,13086.037,25961.598
99,156,5,CHN,CN,156,4,Country/Area,906,China,2,Medium,1958,1958,55-59,10211.305,10561.661,20772.966
99,156,5,CHN,CN,156,4,Country/Area,906,China,2,Medium,1958,1958,60-64,7967.58,8663.833,16631.413
99,156,5,CHN,CN,156,4,Country/Area,906,China,2,Medium,1958,1958,65-69,5445.729,6494.647,11940.376
99,156,5,CHN,CN,156,4,Country/Area,906,China,2,Medium,1958,1958,70-74,3331.42,4480.291,7811.711
99,156,5,CHN,CN,156,4,Country/Area,906,China,2,Medium,1958,1958,75-79,1648.555,2623.387,4271.942
99,156,5,CHN,CN,156,4,Country/Area,906,China,2,Medium,1958,1958,80-84,634.844,1124.884,1759.728
99,156,5,CHN,CN,156,4,Country/Area,906,China,2,Medium,1958,1958,85-89,200.21,381.915,582.125
99,156,5,CHN,CN,156,4,Country/Area,906,China,2,Medium,1958,1958,90-94,37.58,93.498,131.078
99,156,5,CHN,CN,156,4,Country/Area,906,China,2,Medium,1958,1958,95+,3.234,12.849,16.083
99,156,5,CHN,CN,156,4,Country/Area,906,China,2,Medium,1959,1959,25-29,25200.415,22653.77,47854.185
99,156,5,CHN,CN,156,4,Country/Area,906,China,2,Medium,1959,1959,30-34,22033.353,20306.04,42339.393
99,156,5,CHN,CN,156,4,Country/Area,906,China,2,Medium,1959,1959,35-39,19133.686,18093.128,37226.814
99,156,5,CHN,CN,156,4,Country/Area,906,China,2,Medium,1959,1959,40-44,17135.865,16455.242,33591.107
